,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 00:00,2012,6,1,00:00,11.6,3.8,59,6,25.0,101.21,Clear
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 01:00,2012,6,1,01:00,11.3,3.6,59,7,25.0,101.24,Clear
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 02:00,2012,6,1,02:00,10.8,3.1,59,9,25.0,101.27,Mainly Clear
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 03:00,2012,6,1,03:00,9.5,2.6,62,9,25.0,101.29,Mainly Clear
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 04:00,2012,6,1,04:00,10.1,2.8,60,11,48.3,101.34,Mostly Cloudy
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 05:00,2012,6,1,05:00,10.7,3.3,60,11,48.3,101.38,Cloudy
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 06:00,2012,6,1,06:00,11.6,4.5,62,7,48.3,101.42,Cloudy
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 07:00,2012,6,1,07:00,14.6,5.3,54,9,48.3,101.44,Cloudy
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 08:00,2012,6,1,08:00,15.2,3.5,45,11,48.3,101.48,Cloudy
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 09:00,2012,6,1,09:00,17.1,4.6,44,11,48.3,101.47,Cloudy
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 10:00,2012,6,1,10:00,18.5,1.2,31,20,48.3,101.44,Mostly Cloudy
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 11:00,2012,6,1,11:00,18.4,1.0,31,17,48.3,101.4,Cloudy
12,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 12:00,2012,6,1,12:00,19.3,3.3,35,20,48.3,101.32,Cloudy
13,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 13:00,2012,6,1,13:00,19.5,4.0,36,17,48.3,101.29,Cloudy
14,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 14:00,2012,6,1,14:00,19.6,4.6,37,15,48.3,101.21,Cloudy
15,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 15:00,2012,6,1,15:00,19.8,4.9,38,17,48.3,101.16,Cloudy
16,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 16:00,2012,6,1,16:00,20.2,4.3,35,22,48.3,101.04,Cloudy
17,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 17:00,2012,6,1,17:00,20.2,4.1,35,19,48.3,101.03,Cloudy
18,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 18:00,2012,6,1,18:00,20.1,4.6,36,19,24.1,100.98,Cloudy
19,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 19:00,2012,6,1,19:00,20.0,5.3,38,19,25.0,100.88,Cloudy
20,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 20:00,2012,6,1,20:00,19.9,4.9,37,20,25.0,100.86,Cloudy
21,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 21:00,2012,6,1,21:00,19.6,5.7,40,26,25.0,100.8,Rain
22,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 22:00,2012,6,1,22:00,19.6,6.5,42,20,25.0,100.77,Cloudy
23,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-01 23:00,2012,6,1,23:00,18.2,8.3,52,19,25.0,100.77,Rain
24,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 00:00,2012,6,2,00:00,17.5,8.2,54,15,19.3,100.78,Rain
25,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 01:00,2012,6,2,01:00,15.9,9.5,66,19,16.1,100.67,Rain
26,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 02:00,2012,6,2,02:00,14.6,8.7,68,19,16.1,100.58,Rain
27,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 03:00,2012,6,2,03:00,14.2,8.8,70,19,16.1,100.5,Rain
28,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 04:00,2012,6,2,04:00,13.6,9.5,76,24,12.9,100.43,Rain
29,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 05:00,2012,6,2,05:00,13.4,9.2,76,24,16.1,100.36,Rain
30,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 06:00,2012,6,2,06:00,13.6,9.5,76,19,16.1,100.44,Rain
31,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 07:00,2012,6,2,07:00,13.4,8.7,73,17,19.3,100.45,Rain
32,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 08:00,2012,6,2,08:00,12.3,9.7,84,11,19.3,100.48,Rain
33,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 09:00,2012,6,2,09:00,13.1,9.6,79,13,24.1,100.52,Cloudy
34,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 10:00,2012,6,2,10:00,12.5,9.8,84,7,8.0,100.48,"Rain,Fog"
35,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 11:00,2012,6,2,11:00,12.5,10.3,86,7,16.1,100.48,Rain
36,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 12:00,2012,6,2,12:00,12.8,10.5,86,9,24.1,100.43,Rain
37,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 13:00,2012,6,2,13:00,13.1,10.9,86,11,24.1,100.43,Rain
38,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 14:00,2012,6,2,14:00,13.6,10.9,84,20,24.1,100.39,Cloudy
39,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 15:00,2012,6,2,15:00,13.9,10.9,82,17,24.1,100.38,Cloudy
40,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 16:00,2012,6,2,16:00,13.5,11.0,85,22,24.1,100.35,Rain
41,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 17:00,2012,6,2,17:00,13.5,11.0,85,17,24.1,100.36,Drizzle
42,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 18:00,2012,6,2,18:00,13.1,11.1,88,19,6.4,100.38,"Drizzle,Fog"
43,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 19:00,2012,6,2,19:00,13.2,11.2,88,9,4.8,100.4,"Drizzle,Fog"
44,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 20:00,2012,6,2,20:00,12.9,10.5,85,4,19.3,100.4,Drizzle
45,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 21:00,2012,6,2,21:00,13.0,10.7,86,7,25.0,100.41,Cloudy
46,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 22:00,2012,6,2,22:00,13.3,10.4,83,15,25.0,100.34,Cloudy
47,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-02 23:00,2012,6,2,23:00,13.1,10.2,83,6,25.0,100.33,Cloudy
48,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-03 00:00,2012,6,3,00:00,13.1,10.4,84,9,19.3,100.33,Cloudy
49,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-03 01:00,2012,6,3,01:00,13.0,10.9,87,6,19.3,100.29,Cloudy
50,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-06-03 02:00,2012,6,3,02:00,13.1,11.0,87,6,19.3,100.26,Cloudy
