,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 00:00,2012,12,1,00:00,-10.8,-16.2,64,9,25.0,103.26,Clear
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 01:00,2012,12,1,01:00,-11.0,-16.5,64,13,25.0,103.25,Mainly Clear
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 02:00,2012,12,1,02:00,-11.1,-16.5,64,20,25.0,103.21,Mainly Clear
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 03:00,2012,12,1,03:00,-12.5,-15.7,77,15,25.0,103.27,Mainly Clear
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 04:00,2012,12,1,04:00,-11.8,-15.1,76,17,25.0,103.22,Mostly Cloudy
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 05:00,2012,12,1,05:00,-11.9,-14.6,80,20,25.0,103.19,Mostly Cloudy
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 06:00,2012,12,1,06:00,-11.8,-15.0,77,26,25.0,103.18,Mostly Cloudy
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 07:00,2012,12,1,07:00,-11.3,-14.2,79,24,24.1,103.19,Cloudy
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 08:00,2012,12,1,08:00,-10.9,-15.3,70,19,24.1,103.23,Mostly Cloudy
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 09:00,2012,12,1,09:00,-10.6,-15.9,65,24,24.1,103.18,Cloudy
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 10:00,2012,12,1,10:00,-10.9,-15.7,68,24,24.1,103.18,Cloudy
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 11:00,2012,12,1,11:00,-10.3,-15.1,68,20,24.1,103.08,Cloudy
12,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 12:00,2012,12,1,12:00,-9.4,-14.6,66,24,24.1,102.97,Cloudy
13,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 13:00,2012,12,1,13:00,-8.9,-14.6,63,22,24.1,102.9,Cloudy
14,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 14:00,2012,12,1,14:00,-8.3,-13.6,66,22,24.1,102.86,Cloudy
15,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 15:00,2012,12,1,15:00,-8.3,-13.5,66,17,24.1,102.84,Cloudy
16,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 16:00,2012,12,1,16:00,-7.9,-12.4,70,20,24.1,102.82,Cloudy
17,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 17:00,2012,12,1,17:00,-7.5,-12.0,70,20,19.3,102.73,Snow
18,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 18:00,2012,12,1,18:00,-6.9,-11.3,71,19,25.0,102.71,Snow
19,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 19:00,2012,12,1,19:00,-6.6,-10.8,72,17,25.0,102.63,Cloudy
20,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 20:00,2012,12,1,20:00,-6.0,-10.0,73,17,25.0,102.55,Cloudy
21,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 21:00,2012,12,1,21:00,-5.9,-9.6,75,17,25.0,102.49,Cloudy
22,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 22:00,2012,12,1,22:00,-4.8,-8.4,76,13,19.3,102.36,Snow
23,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-01 23:00,2012,12,1,23:00,-4.7,-8.0,78,19,16.1,102.28,Cloudy
24,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 00:00,2012,12,2,00:00,-4.3,-7.3,80,15,24.1,102.18,Cloudy
25,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 01:00,2012,12,2,01:00,-4.2,-6.8,82,15,24.1,102.11,Cloudy
26,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 02:00,2012,12,2,02:00,-3.9,-6.5,82,15,25.0,102.06,Cloudy
27,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 03:00,2012,12,2,03:00,-3.5,-5.8,84,13,25.0,102.02,Snow
28,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 04:00,2012,12,2,04:00,-3.2,-5.3,85,13,25.0,101.86,Cloudy
29,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 05:00,2012,12,2,05:00,-2.7,-5.1,84,11,25.0,101.75,Cloudy
30,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 06:00,2012,12,2,06:00,-1.9,-4.0,86,9,25.0,101.67,Cloudy
31,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 07:00,2012,12,2,07:00,-0.3,-2.3,86,6,25.0,101.58,Cloudy
32,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 08:00,2012,12,2,08:00,4.7,2.4,85,28,25.0,101.46,Cloudy
33,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 09:00,2012,12,2,09:00,5.1,2.6,84,32,24.1,101.34,Cloudy
34,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 10:00,2012,12,2,10:00,5.7,3.0,83,28,19.3,101.27,Cloudy
35,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 11:00,2012,12,2,11:00,6.2,3.2,81,28,24.1,101.16,Cloudy
36,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 12:00,2012,12,2,12:00,6.6,3.3,79,28,24.1,101.0,Rain Showers
37,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 13:00,2012,12,2,13:00,6.2,4.3,88,19,12.9,100.89,Rain
38,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 14:00,2012,12,2,14:00,6.0,4.5,90,19,9.7,100.82,"Rain,Fog"
39,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-12-02 15:00,2012,12,2,15:00,5.6,4.9,95,22,4.8,100.75,"Rain,Fog"
