,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 00:00,2012,4,1,00:00,0.4,-6.6,59,0,25.0,100.75,Clear
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 01:00,2012,4,1,01:00,-1.5,-7.3,65,4,25.0,100.77,Clear
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 02:00,2012,4,1,02:00,0.1,-6.9,59,0,25.0,100.7,Clear
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 03:00,2012,4,1,03:00,-1.0,-6.2,68,0,25.0,100.67,Clear
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 04:00,2012,4,1,04:00,-1.0,-5.3,73,0,25.0,100.66,Mainly Clear
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 05:00,2012,4,1,05:00,-0.4,-4.5,74,4,25.0,100.65,Mostly Cloudy
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 06:00,2012,4,1,06:00,0.5,-3.2,76,6,48.3,100.62,Cloudy
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 07:00,2012,4,1,07:00,1.2,-3.6,70,6,48.3,100.6,Cloudy
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 08:00,2012,4,1,08:00,3.2,-4.5,57,11,48.3,100.53,Cloudy
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 09:00,2012,4,1,09:00,3.7,-3.9,58,9,48.3,100.49,Cloudy
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 10:00,2012,4,1,10:00,4.1,-2.8,61,7,48.3,100.46,Cloudy
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-04-01 11:00,2012,4,1,11:00,4.8,-0.3,70,4,24.1,100.43,Rain Showers
