,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 00:00,2013,1,1,00:00,-1.0,-1.7,95,35,6.4,99.89,Snow
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 01:00,2013,1,1,01:00,-2.0,-5.1,79,35,16.1,99.93,Mainly Clear
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 02:00,2013,1,1,02:00,-2.7,-6.0,78,28,19.3,100.08,Snow
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 03:00,2013,1,1,03:00,-5.6,-11.7,62,30,25.0,100.21,Clear
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 04:00,2013,1,1,04:00,-7.7,-12.6,68,35,19.3,100.32,Mainly Clear
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 05:00,2013,1,1,05:00,-9.7,-14.8,66,33,25.0,100.47,Clear
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 06:00,2013,1,1,06:00,-11.1,-17.0,62,30,25.0,100.65,Clear
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 07:00,2013,1,1,07:00,-12.2,-17.2,66,20,25.0,100.78,Clear
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 08:00,2013,1,1,08:00,-13.0,-17.7,68,13,24.1,100.87,Clear
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 09:00,2013,1,1,09:00,-13.0,-17.3,70,20,24.1,100.86,Clear
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 10:00,2013,1,1,10:00,-12.6,-17.8,65,19,24.1,100.9,Clear
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 11:00,2013,1,1,11:00,-12.2,-17.6,64,22,24.1,100.88,Mainly Clear
12,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 12:00,2013,1,1,12:00,-11.8,-17.2,64,26,24.1,100.87,Mainly Clear
13,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 13:00,2013,1,1,13:00,-11.3,-17.4,61,26,24.1,100.83,Mainly Clear
14,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 14:00,2013,1,1,14:00,-11.3,-17.4,61,28,24.1,100.82,Mainly Clear
15,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 15:00,2013,1,1,15:00,-11.4,-17.6,60,30,24.1,100.85,Mainly Clear
16,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 16:00,2013,1,1,16:00,-12.0,-18.0,61,22,24.1,100.81,Mainly Clear
17,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 17:00,2013,1,1,17:00,-13.0,-18.4,64,19,25.0,100.9,Clear
18,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 18:00,2013,1,1,18:00,-13.4,-18.4,66,24,25.0,100.96,Clear
19,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 19:00,2013,1,1,19:00,-14.1,-18.7,68,20,25.0,101.02,Clear
20,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 20:00,2013,1,1,20:00,-14.3,-19.0,67,15,25.0,101.04,Clear
21,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 21:00,2013,1,1,21:00,-14.8,-19.5,67,15,25.0,100.98,Mainly Clear
22,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 22:00,2013,1,1,22:00,-16.3,-20.2,72,7,25.0,100.98,Mostly Cloudy
23,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01 23:00,2013,1,1,23:00,-15.4,-19.8,69,11,25.0,100.99,Cloudy
