,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 00:00,2012,2,1,00:00,-6.7,-9.7,79,19,11.3,100.82,Snow
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 01:00,2012,2,1,01:00,-6.7,-9.5,80,15,9.7,100.69,Snow
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 02:00,2012,2,1,02:00,-6.8,-9.3,82,19,4.8,100.61,Freezing Drizzle
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 03:00,2012,2,1,03:00,-6.5,-9.0,82,15,4.8,100.56,Freezing Rain
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 04:00,2012,2,1,04:00,-5.8,-8.2,83,17,8.0,100.48,Freezing Rain
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 05:00,2012,2,1,05:00,-5.8,-8.5,81,19,8.0,100.42,Freezing Drizzle
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 06:00,2012,2,1,06:00,-5.4,-8.0,82,15,8.0,100.34,Freezing Rain
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 07:00,2012,2,1,07:00,-5.5,-8.2,81,13,9.7,100.33,Freezing Rain
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 08:00,2012,2,1,08:00,-5.5,-8.5,79,11,11.3,100.36,Cloudy
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 09:00,2012,2,1,09:00,-5.7,-8.6,80,15,12.9,100.36,Cloudy
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 10:00,2012,2,1,10:00,-5.7,-8.5,81,13,8.0,100.35,Haze
11,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-02-01 11:00,2012,2,1,11:00,-5.8,-8.3,82,9,4.0,100.36,"Freezing Drizzle,Haze"
