,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 00:00,2012,9,1,00:00,19.6,13.1,66,11,25.0,100.94,Mainly Clear
1,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 01:00,2012,9,1,01:00,19.1,12.5,66,4,25.0,101.0,Mainly Clear
2,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 02:00,2012,9,1,02:00,19.1,12.6,66,9,25.0,101.05,Mainly Clear
3,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 03:00,2012,9,1,03:00,17.7,12.8,73,11,25.0,101.13,Mainly Clear
4,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 04:00,2012,9,1,04:00,16.3,12.8,80,11,25.0,101.21,Clear
5,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 05:00,2012,9,1,05:00,16.0,12.9,82,13,25.0,101.31,Mainly Clear
6,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 06:00,2012,9,1,06:00,16.2,12.5,79,13,48.3,101.41,Mainly Clear
7,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 07:00,2012,9,1,07:00,17.8,10.6,63,24,48.3,101.48,Mainly Clear
8,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 08:00,2012,9,1,08:00,18.6,9.5,55,20,48.3,101.54,Mainly Clear
9,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 09:00,2012,9,1,09:00,20.4,8.8,47,15,48.3,101.59,Clear
10,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012-09-01 10:00,2012,9,1,10:00,22.0,8.5,42,20,48.3,101.6,Clear
